,content,like_count,reply_count,retweet_count,url,username
0,お疲れ様でした。4人…浜田動くかな？ https://t.co/Tf51n8KR95,44609,405,2580,https://twitter.com/matsu_bouzu/status/1432341272463912962,matsu_bouzu
1,ラフ&amp;ミュージック。おおむね好評だったようで大成功ぽい感じです！皆さんお疲れ様でした！ありがとうございました！来年は浜田で五夜連続だそうです！,126596,1714,6509,https://twitter.com/matsu_bouzu/status/1432218732370087938,matsu_bouzu
2,あすとあさってなまほうそうでてれびでますよかったらみてくださいふじてれびですまつもとひとし,79298,1545,3926,https://twitter.com/matsu_bouzu/status/1431156517605023745,matsu_bouzu
3,ガキの使いあるある。今週神回！これ考えた人凄い！いやいやワシワシ😭,91642,963,4066,https://twitter.com/matsu_bouzu/status/1429769268225212416,matsu_bouzu
4,子供には特にこの時期戦争映画を観せます。個人的には戦争映画は大嫌いです。ハッピーエンドは無いからね。でも親の義務でもあるからね。よろしくお願いします。,129891,1421,7130,https://twitter.com/matsu_bouzu/status/1427141306388676610,matsu_bouzu
5,告げ口はイヤやけど…東京が40度いったろかなってイキってるらしい。,72729,771,3189,https://twitter.com/matsu_bouzu/status/1424933759170727941,matsu_bouzu
6,ほれシミ。 https://t.co/2vlZlA0Bag,35679,813,1074,https://twitter.com/matsu_bouzu/status/1422176707142844429,matsu_bouzu
7,暑中お見舞い申し上げますね。 https://t.co/fqs1KhNosP,105473,1046,5384,https://twitter.com/matsu_bouzu/status/1419559945394032640,matsu_bouzu
8,ミッドナイトスワン。泣いてもた。,80281,946,7121,https://twitter.com/matsu_bouzu/status/1418200660953104389,matsu_bouzu
9,子供の時。市民プールの蛍の光は絶望的に悲しかったなー。,76433,793,2534,https://twitter.com/matsu_bouzu/status/1417059886911741952,matsu_bouzu
10,オレに霊感はない。のに。部屋におっさんを感じる。おっさんの“におい”がする。たぶんオレだ。,97434,1222,3770,https://twitter.com/matsu_bouzu/status/1415260963838652424,matsu_bouzu
11,ABCお笑いGP。オズワルドおめでとう㊗️とても良い塩梅でした！ユースケの浴衣はらたつ。。。,63410,276,2650,https://twitter.com/matsu_bouzu/status/1414199494736977921,matsu_bouzu
12,😮　😮　😮　😮　😮　　って感じですね。,58491,837,2678,https://twitter.com/matsu_bouzu/status/1413026327465140224,matsu_bouzu
13,シャワーして素っ裸でキッチンへ。窓掃除の人と目が合いました。だみだこりゃあ。,77079,894,2488,https://twitter.com/matsu_bouzu/status/1411906712185962501,matsu_bouzu
14,『キングオブコントの会』無料見逃し配信の再生回数がＴＢＳバラエティ特番の歴代トップを獲得！ - モデルプレス https://t.co/FwRpvAS8Ru,21044,249,1029,https://twitter.com/matsu_bouzu/status/1410926692000944130,matsu_bouzu
15,乗りてーなー馬（４年前ハワイ） https://t.co/H09GrNfLpp,85868,1235,3380,https://twitter.com/matsu_bouzu/status/1410203290894172166,matsu_bouzu
16,ダウンタウンが生意気だったのはオレや浜田が悪いんじゃない！育ちが悪いんじゃー😭,94464,1168,3557,https://twitter.com/matsu_bouzu/status/1408394847476539392,matsu_bouzu
17,楽屋に謎のボックス。絶対ドッキリやと思ってソワソワしてたら中身は衣装でした…オレ可愛い。 https://t.co/QftdXGKepx,68989,584,2270,https://twitter.com/matsu_bouzu/status/1406832655216173060,matsu_bouzu
18,😆 https://t.co/oXMSVfnV2r,26554,117,934,https://twitter.com/matsu_bouzu/status/1406612392654426116,matsu_bouzu
