,tweet_date,tweet_content,tweet_url,tweet_user_name,tweet_reply_count,tweet_like_count,tweet_retweet_count
90,2021-08-31 23:13:53+00:00,"食後にくつろぐレアちゃん
#猫 #マンチカン #日ハム https://t.co/zSGt62TKN4",https://twitter.com/Laird0308/status/1432844119420719109,Laird0308,1,67,1
91,2021-08-31 23:13:03+00:00,日本ハム、人種差別発言動画で謝罪文公表　中田翔問題も (朝日新聞デジタル) https://t.co/Qv0pXam13b #linenews,https://twitter.com/alexrikoko/status/1432843909630083072,alexrikoko,0,1,1
92,2021-08-31 23:12:02+00:00,"日ハムは円陣で差別発言してたんか
見損なったわ
プロ球団としてレベルの高いことして欲しいよね",https://twitter.com/uonome0528/status/1432843653488148485,uonome0528,0,0,0
93,2021-08-31 23:11:48+00:00,日本ハム、人種差別発言動画で謝罪文公表　中田翔問題も (朝日新聞デジタル) https://t.co/B2LATMn0ev #linenews,https://twitter.com/seturibaika/status/1432843592381308928,seturibaika,0,0,0
94,2021-08-31 23:11:44+00:00,日本ハムがトレード組で3連勝!　木村＆佐藤そろってヒーロー打― スポニチ Sponichi Annex 野球 https://t.co/67H6lyrZMf,https://twitter.com/melonpan3840/status/1432843577478942722,melonpan3840,0,0,1
95,2021-08-31 23:11:23+00:00,"ファンの皆様へ｜北海道日本ハムファイターズ 

https://t.co/U6i8B6gttq",https://twitter.com/ibleedlionsblue/status/1432843491462160386,ibleedlionsblue,0,0,0
96,2021-08-31 23:11:13+00:00,"他の誰かが書いた文章に記名だけすればいいから球団社長って楽だよな☺️

中田翔の暴力行為で日本ハム・球団社長が謝罪文「誠に申し訳ありません」(サンケイスポーツ)
#Yahooニュース
https://t.co/z9mmfKu2Yk",https://twitter.com/Saorin1524/status/1432843448172773381,Saorin1524,0,0,0
97,2021-08-31 23:10:22+00:00,日本ハム、人種差別発言動画で謝罪文公表　中田翔問題も (朝日新聞デジタル) https://t.co/t9CM3LbHnQ #linenews,https://twitter.com/nokotachan/status/1432843233193648132,nokotachan,0,0,0
98,2021-08-31 23:09:44+00:00,大谷翔平 全米が気になる「ジュラルミンケース」の中身…日ハム関係者は「約50万円の低周波治療器」と分析（SmartFLASH） https://t.co/mqf05oQ9lJ,https://twitter.com/Nanasemaru7_46/status/1432843075353604104,Nanasemaru7_46,0,0,0
99,2021-08-31 23:09:28+00:00,"公の場から逃げて文書だけで謝罪なんて楽な仕事だな。日本ハムってこういう企業体質なのかしら🤔暴行、人種差別、誠意のない謝罪、次は何だろう😂

日本ハム謝罪「“ファイターズの中田翔”機会設けず退団」　円陣動画の差別的発言も認める(スポニチアネックス)
#Yahooニュース
https://t.co/qJVAJurviu",https://twitter.com/Saorin1524/status/1432843006692888586,Saorin1524,1,1,0
100,2021-08-31 23:09:20+00:00,"日本ハム謝罪「“ファイターズの中田翔”機会設けず退団」　円陣動画の差別的発言も認める― #スポニチ Sponichi Annex #野球 https://t.co/jx3albxMD3

#lovefighters",https://twitter.com/SnFighters/status/1432842973662699521,SnFighters,0,56,5
